,id,fdc_id,name,pct_weight,is_refuse,gram_weight,data_points,min_year_acquired,data_type,description,food_category_id,publication_date
0,59105,331897,Bone and cartilage,32.4,Y,33.7,60,2010.0,foundation_food,"Chicken, broilers or fryers, drumstick, meat only, cooked, braised",,2019/4/1 0:00:00
1,59106,331897,Total gram weight,100.0,N,104.0,60,2010.0,foundation_food,"Chicken, broilers or fryers, drumstick, meat only, cooked, braised",,2019/4/1 0:00:00
2,59107,331897,Separable Lean,57.9,N,60.2,60,2010.0,foundation_food,"Chicken, broilers or fryers, drumstick, meat only, cooked, braised",,2019/4/1 0:00:00
3,59108,331897,Handling loss,1.5,N,1.5,60,2010.0,foundation_food,"Chicken, broilers or fryers, drumstick, meat only, cooked, braised",,2019/4/1 0:00:00
4,59109,331897,Edible portion,57.9,N,60.2,60,2010.0,foundation_food,"Chicken, broilers or fryers, drumstick, meat only, cooked, braised",,2019/4/1 0:00:00
5,59110,331897,Skin and separable fat,8.7,Y,9.0,60,2010.0,foundation_food,"Chicken, broilers or fryers, drumstick, meat only, cooked, braised",,2019/4/1 0:00:00
6,59918,746758,Connective tissue,0.3,Y,1.4,24,2011.0,foundation_food,"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",,2019/12/16 0:00:00
7,59919,746758,External fat,0.5,Y,2.1,24,2011.0,foundation_food,"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",,2019/12/16 0:00:00
8,59920,746758,Handling loss,0.2,N,0.8,24,2011.0,foundation_food,"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",,2019/12/16 0:00:00
9,59921,746758,Seam fat,0.5,Y,2.5,24,2011.0,foundation_food,"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",,2019/12/16 0:00:00
10,59922,746758,Separable Lean,98.5,N,455.0,24,2011.0,foundation_food,"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",,2019/12/16 0:00:00
11,59923,746758,Total gram weight,100.0,N,462.0,24,2011.0,foundation_food,"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",,2019/12/16 0:00:00
