,fdc_id,data_type,description,food_category_id,protein_value,fat_value,carbohydrate_value
0,167518,sr_legacy_food,"Waffle, buttermilk, frozen, ready-to-heat, microwaved",,4.0,9.0,4.0
1,167532,sr_legacy_food,"Bread, white wheat",,4.0,9.0,4.0
2,167537,sr_legacy_food,"Snacks, corn-based, extruded, chips, plain",,2.7,8.8,4.0
3,167538,sr_legacy_food,"Snacks, corn-based, extruded, chips, barbecue-flavor",,2.7,8.7,3.9
4,167539,sr_legacy_food,"Snacks, corn-based, extruded, cones, plain",,3.5,8.6,4.1
5,167540,sr_legacy_food,"Snacks, fruit leather, pieces",,4.0,9.0,4.0
6,167541,sr_legacy_food,"Snacks, fruit leather, rolls",,4.0,9.0,4.0
7,167542,sr_legacy_food,"Snacks, granola bars, hard, plain",,3.9,8.8,4.0
8,167543,sr_legacy_food,"Snacks, granola bars, hard, almond",,3.5,8.6,4.0
9,167544,sr_legacy_food,"Snacks, granola bars, soft, uncoated, raisin",,3.5,8.4,4.1
10,167545,sr_legacy_food,"Snacks, granola bars, soft, coated, milk chocolate coating, chocolate chip",,3.5,8.6,3.6
11,167546,sr_legacy_food,"Candies, honey-combed, with peanut butter",,3.47,8.37,4.07
12,167547,sr_legacy_food,"Snacks, granola bars, soft, coated, milk chocolate coating, peanut butter",,3.7,8.6,3.8
13,167548,sr_legacy_food,"Snacks, granola bars, soft, uncoated, peanut butter and chocolate chip",,3.4,8.4,3.7
14,167549,sr_legacy_food,"Snacks, popcorn, oil-popped, microwave, regular flavor, no trans fat",,2.7,8.8,4.0
15,167550,sr_legacy_food,"Snacks, popcorn, cakes",,3.0,8.4,4.1
16,167551,sr_legacy_food,"Snacks, popcorn, caramel-coated, with peanuts",,3.0,8.5,3.9
17,167552,sr_legacy_food,"Snacks, popcorn, caramel-coated, without peanuts",,2.7,8.8,3.9
18,167553,sr_legacy_food,"Snacks, potato chips, made from dried potatoes, reduced fat",,2.8,8.8,4.0
19,167554,sr_legacy_food,"Snacks, potato chips, made from dried potatoes, sour-cream and onion-flavor",,3.3,8.8,3.9
20,167555,sr_legacy_food,"Snacks, pretzels, hard, plain, salted",,3.7,8.7,4.0
21,167556,sr_legacy_food,"Snacks, pretzels, hard, confectioner's coating, chocolate-flavor",,3.8,8.7,4.0
22,167557,sr_legacy_food,"Snacks, rice cakes, brown rice, sesame seed",,3.1,8.4,4.1
23,167558,sr_legacy_food,"Snacks, tortilla chips, plain, white corn, salted",,2.7,8.8,4.0
24,167561,sr_legacy_food,"Snacks, trail mix, regular",,3.5,8.4,3.7
25,167564,sr_legacy_food,"Candies, NESTLE, BIT-O'-HONEY Candy Chews",,4.27,8.79,3.87
26,167565,sr_legacy_food,"Candies, NESTLE, BUTTERFINGER Bar",,4.27,8.79,3.87
27,167567,sr_legacy_food,"Baking chocolate, unsweetened, liquid",,1.83,8.4,1.33
28,167569,sr_legacy_food,"Candies, confectioner's coating, yogurt",,4.0,9.0,4.0
29,167570,sr_legacy_food,"Candies, confectioner's coating, peanut butter",,4.0,9.0,4.0
30,167571,sr_legacy_food,"Candies, white chocolate",,4.3,8.8,3.9
31,167572,sr_legacy_food,"Ice creams, vanilla, light",,4.0,9.0,4.0
32,167573,sr_legacy_food,"Ice creams, vanilla, rich",,4.0,9.0,4.0
33,167575,sr_legacy_food,"Ice creams, vanilla",,4.0,9.0,4.0
34,167576,sr_legacy_food,"Ice creams, vanilla, light, soft-serve",,4.1,8.79,3.8
35,167577,sr_legacy_food,"Sherbet, orange",,4.0,9.0,4.0
36,167587,sr_legacy_food,"Candies, milk chocolate",,4.0,9.0,4.0
37,167606,sr_legacy_food,"Sweet Potatoes, french fried, frozen as packaged, salt added in processing",,4.03,8.37,2.78
38,167622,sr_legacy_food,"Deer (venison), sitka, raw (Alaska Native)",,4.27,9.02,3.87
